wd	ms	distance	reddening	obs_u	obs_g	obs_r	obs_i	model_u	model_g	model_r	model_i	E(B-V)	Iexcess	comp_spectype	avg_diff
B8	F0	1200.0	1.1	14.918	14.269	13.336	12.888	14.989	14.62	13.325	12.6	1.593	-0.087	-	0.18	
F0	B8	1200.0	1.1	14.918	14.269	13.336	12.888	14.989	14.62	13.325	12.6	1.593	-0.087	-	0.18	
F0	K2	700.0	0.5	14.918	14.269	13.336	12.888	14.445	14.301	13.27	12.739	1.405	-0.237	-	0.18	
K2	F0	700.0	0.5	14.918	14.269	13.336	12.888	14.445	14.301	13.27	12.739	1.405	-0.237	-	0.18	
A0	K2	900.0	1.0	14.918	14.269	13.336	12.888	14.975	14.577	13.288	12.578	1.616	-0.147	-	0.181	
K2	A0	900.0	1.0	14.918	14.269	13.336	12.888	14.975	14.577	13.288	12.578	1.616	-0.147	-	0.181	
A0	A0	1300.0	1.0	14.918	14.269	13.336	12.888	15.023	14.63	13.346	12.641	1.613	-0.151	-	0.181	
A0	G0	1300.0	0.8	14.918	14.269	13.336	12.888	14.79	14.629	13.528	12.933	1.42	-0.128	-	0.181	
G0	A0	1300.0	0.8	14.918	14.269	13.336	12.888	14.79	14.629	13.528	12.933	1.42	-0.128	-	0.181	
A0	K5	1000.0	0.9	14.918	14.269	13.336	12.888	14.72	14.448	13.261	12.614	1.511	-0.139	-	0.182	
K5	A0	1000.0	0.9	14.918	14.269	13.336	12.888	14.72	14.448	13.261	12.614	1.511	-0.139	-	0.182	
F0	K5	600.0	0.6	14.918	14.269	13.336	12.888	14.614	14.359	13.236	12.65	1.497	-0.24	-	0.183	
K5	F0	600.0	0.6	14.918	14.269	13.336	12.888	14.614	14.359	13.236	12.65	1.497	-0.24	-	0.183	
A0	F0	1200.0	0.9	14.918	14.269	13.336	12.888	15.01	14.703	13.488	12.827	1.541	-0.146	-	0.185	
F0	A0	1200.0	0.9	14.918	14.269	13.336	12.888	15.01	14.703	13.488	12.827	1.541	-0.146	-	0.185	
A0	K2	1000.0	0.9	14.918	14.269	13.336	12.888	14.718	14.444	13.254	12.606	1.513	-0.138	-	0.185	
K2	A0	1000.0	0.9	14.918	14.269	13.336	12.888	14.718	14.444	13.254	12.606	1.513	-0.138	-	0.185	
A0	M4	1300.0	0.7	14.918	14.269	13.336	12.888	14.319	14.293	13.31	12.787	1.307	-0.133	-	0.187	
M4	A0	1300.0	0.7	14.918	14.269	13.336	12.888	14.319	14.293	13.31	12.787	1.307	-0.133	-	0.187	
B8	F5	1300.0	1.0	14.918	14.269	13.336	12.888	14.701	14.464	13.274	12.613	1.482	-0.075	-	0.187	
F5	B8	1300.0	1.0	14.918	14.269	13.336	12.888	14.701	14.464	13.274	12.613	1.482	-0.075	-	0.187	
B8	F5	1200.0	1.1	14.918	14.269	13.336	12.888	15.012	14.652	13.362	12.64	1.586	-0.084	-	0.188	
F5	B8	1200.0	1.1	14.918	14.269	13.336	12.888	15.012	14.652	13.362	12.64	1.586	-0.084	-	0.188	
A0	M2	1300.0	0.7	14.918	14.269	13.336	12.888	14.319	14.293	13.309	12.787	1.307	-0.132	-	0.188	
M2	A0	1300.0	0.7	14.918	14.269	13.336	12.888	14.319	14.293	13.309	12.787	1.307	-0.132	-	0.188	
