wd	ms	distance	reddening	obs_u	obs_g	obs_r	obs_i	model_u	model_g	model_r	model_i	E(B-V)	Iexcess	comp_spectype	avg_diff
M0	G0	700.0	0.6	14.918	14.269	13.336	12.888	17.161	16.487	15.08	14.346	1.846	-0.382	-	1.916	
B5	F5	600.0	1.3	14.918	14.269	13.336	12.888	13.094	12.704	11.359	10.587	1.61	-0.018	-	1.917	
F5	B5	600.0	1.3	14.918	14.269	13.336	12.888	13.094	12.704	11.359	10.587	1.61	-0.018	-	1.917	
F5	M0	1300.0	0.5	14.918	14.269	13.336	12.888	16.721	16.412	15.271	14.685	1.542	-0.298	-	1.919	
M0	F5	1300.0	0.5	14.918	14.269	13.336	12.888	16.721	16.412	15.271	14.685	1.542	-0.298	-	1.919	
G0	M4	800.0	0.5	14.918	14.269	13.336	12.888	16.98	16.447	15.16	14.502	1.73	-0.387	-	1.919	
M4	G0	800.0	0.5	14.918	14.269	13.336	12.888	16.98	16.447	15.16	14.502	1.73	-0.387	-	1.919	
B5	F0	700.0	1.2	14.918	14.269	13.336	12.888	12.937	12.667	11.416	10.704	1.51	-0.008	-	1.922	
F0	B5	700.0	1.2	14.918	14.269	13.336	12.888	12.937	12.667	11.416	10.704	1.51	-0.008	-	1.922	
A0	F0	1100.0	1.5	14.918	14.269	13.336	12.888	17.73	16.665	14.868	13.839	2.172	-0.23	-	1.923	
F0	A0	1100.0	1.5	14.918	14.269	13.336	12.888	17.73	16.665	14.868	13.839	2.172	-0.23	-	1.923	
F0	K2	1000.0	0.9	14.918	14.269	13.336	12.888	17.16	16.525	15.095	14.322	1.814	-0.267	-	1.923	
K2	F0	1000.0	0.9	14.918	14.269	13.336	12.888	17.16	16.525	15.095	14.322	1.814	-0.267	-	1.923	
F5	K2	1000.0	0.7	14.918	14.269	13.336	12.888	17.068	16.49	15.132	14.415	1.767	-0.318	-	1.924	
K2	F5	1000.0	0.7	14.918	14.269	13.336	12.888	17.068	16.49	15.132	14.415	1.767	-0.318	-	1.924	
F5	F5	1000.0	0.9	14.918	14.269	13.336	12.888	17.341	16.546	15.022	14.203	1.948	-0.346	-	1.925	
A0	G0	800.0	0.5	14.918	14.269	13.336	12.888	12.279	12.478	11.682	11.27	1.119	-0.123	-	1.926	
G0	A0	800.0	0.5	14.918	14.269	13.336	12.888	12.279	12.478	11.682	11.27	1.119	-0.123	-	1.926	
B5	F0	1100.0	0.9	14.918	14.269	13.336	12.888	12.461	12.559	11.609	11.08	1.203	0.01	A2V	1.926	
F0	B5	1100.0	0.9	14.918	14.269	13.336	12.888	12.461	12.559	11.609	11.08	1.203	0.01	A2V	1.926	
B5	B8	800.0	1.2	14.918	14.269	13.336	12.888	12.974	12.666	11.393	10.669	1.542	-0.026	-	1.927	
B8	B5	800.0	1.2	14.918	14.269	13.336	12.888	12.974	12.666	11.393	10.669	1.542	-0.026	-	1.927	
B8	B8	900.0	0.9	14.918	14.269	13.336	12.888	12.682	12.584	11.511	10.923	1.367	-0.076	-	1.928	
A0	A0	800.0	1.9	14.918	14.269	13.336	12.888	18.329	16.78	14.636	13.378	2.575	-0.315	-	1.928	
B5	F0	600.0	1.3	14.918	14.269	13.336	12.888	13.088	12.693	11.344	10.57	1.614	-0.018	-	1.929	
F0	B5	600.0	1.3	14.918	14.269	13.336	12.888	13.088	12.693	11.344	10.57	1.614	-0.018	-	1.929	
A0	G0	900.0	1.6	14.918	14.269	13.336	12.888	17.871	16.7	14.821	13.736	2.26	-0.237	-	1.929	
G0	A0	900.0	1.6	14.918	14.269	13.336	12.888	17.871	16.7	14.821	13.736	2.26	-0.237	-	1.929	
B5	M4	800.0	1.1	14.918	14.269	13.336	12.888	12.753	12.618	11.478	10.835	1.398	-0.005	-	1.932	
M4	B5	800.0	1.1	14.918	14.269	13.336	12.888	12.753	12.618	11.478	10.835	1.398	-0.005	-	1.932	
B5	M2	800.0	1.1	14.918	14.269	13.336	12.888	12.753	12.618	11.478	10.835	1.398	-0.005	-	1.932	
M2	B5	800.0	1.1	14.918	14.269	13.336	12.888	12.753	12.618	11.478	10.835	1.398	-0.005	-	1.932	
A0	K2	1200.0	1.4	14.918	14.269	13.336	12.888	17.539	16.637	14.959	14.004	2.036	-0.201	-	1.932	
K2	A0	1200.0	1.4	14.918	14.269	13.336	12.888	17.539	16.637	14.959	14.004	2.036	-0.201	-	1.932	
B5	M0	800.0	1.1	14.918	14.269	13.336	12.888	12.753	12.618	11.478	10.835	1.398	-0.004	-	1.932	
M0	B5	800.0	1.1	14.918	14.269	13.336	12.888	12.753	12.618	11.478	10.835	1.398	-0.004	-	1.932	
B5	K5	800.0	1.1	14.918	14.269	13.336	12.888	12.753	12.617	11.477	10.834	1.398	-0.004	-	1.932	
K5	B5	800.0	1.1	14.918	14.269	13.336	12.888	12.753	12.617	11.477	10.834	1.398	-0.004	-	1.932	
F5	M2	1300.0	0.5	14.918	14.269	13.336	12.888	16.724	16.421	15.289	14.709	1.537	-0.304	-	1.933	
M2	F5	1300.0	0.5	14.918	14.269	13.336	12.888	16.724	16.421	15.289	14.709	1.537	-0.304	-	1.933	
B5	K2	800.0	1.1	14.918	14.269	13.336	12.888	12.753	12.617	11.476	10.832	1.398	-0.003	-	1.933	
K2	B5	800.0	1.1	14.918	14.269	13.336	12.888	12.753	12.617	11.476	10.832	1.398	-0.003	-	1.933	
B8	M4	1000.0	0.6	14.918	14.269	13.336	12.888	12.205	12.468	11.701	11.296	1.066	-0.071	-	1.935	
M4	B8	1000.0	0.6	14.918	14.269	13.336	12.888	12.205	12.468	11.701	11.296	1.066	-0.071	-	1.935	
A0	F5	700.0	0.6	14.918	14.269	13.336	12.888	12.442	12.508	11.599	11.121	1.23	-0.125	-	1.935	
F5	A0	700.0	0.6	14.918	14.269	13.336	12.888	12.442	12.508	11.599	11.121	1.23	-0.125	-	1.935	
B8	M2	1000.0	0.6	14.918	14.269	13.336	12.888	12.205	12.468	11.7	11.295	1.066	-0.07	-	1.935	
M2	B8	1000.0	0.6	14.918	14.269	13.336	12.888	12.205	12.468	11.7	11.295	1.066	-0.07	-	1.935	
B8	M0	1000.0	0.6	14.918	14.269	13.336	12.888	12.205	12.468	11.699	11.294	1.066	-0.069	-	1.936	
M0	B8	1000.0	0.6	14.918	14.269	13.336	12.888	12.205	12.468	11.699	11.294	1.066	-0.069	-	1.936	
F5	M4	1300.0	0.5	14.918	14.269	13.336	12.888	16.725	16.423	15.293	14.717	1.536	-0.308	-	1.937	
M4	F5	1300.0	0.5	14.918	14.269	13.336	12.888	16.725	16.423	15.293	14.717	1.536	-0.308	-	1.937	
A0	K5	1200.0	1.4	14.918	14.269	13.336	12.888	17.541	16.641	14.966	14.013	2.034	-0.202	-	1.937	
K5	A0	1200.0	1.4	14.918	14.269	13.336	12.888	17.541	16.641	14.966	14.013	2.034	-0.202	-	1.937	
B8	K5	1000.0	0.6	14.918	14.269	13.336	12.888	12.205	12.467	11.698	11.291	1.066	-0.069	-	1.937	
K5	B8	1000.0	0.6	14.918	14.269	13.336	12.888	12.205	12.467	11.698	11.291	1.066	-0.069	-	1.937	
B5	A0	1000.0	1.0	14.918	14.269	13.336	12.888	12.644	12.589	11.515	10.913	1.331	-0.002	-	1.937	
A0	B5	1000.0	1.0	14.918	14.269	13.336	12.888	12.644	12.589	11.515	10.913	1.331	-0.002	-	1.937	
B5	G0	800.0	1.1	14.918	14.269	13.336	12.888	12.751	12.613	11.47	10.823	1.4	-0.001	-	1.938	
G0	B5	800.0	1.1	14.918	14.269	13.336	12.888	12.751	12.613	11.47	10.823	1.4	-0.001	-	1.938	
A0	M0	1200.0	1.4	14.918	14.269	13.336	12.888	17.541	16.643	14.969	14.017	2.033	-0.203	-	1.94	
M0	A0	1200.0	1.4	14.918	14.269	13.336	12.888	17.541	16.643	14.969	14.017	2.033	-0.203	-	1.94	
B8	K2	1000.0	0.6	14.918	14.269	13.336	12.888	12.204	12.465	11.695	11.287	1.067	-0.067	-	1.94	
K2	B8	1000.0	0.6	14.918	14.269	13.336	12.888	12.204	12.465	11.695	11.287	1.067	-0.067	-	1.94	
F0	G0	800.0	1.1	14.918	14.269	13.336	12.888	17.536	16.614	14.965	14.057	2.054	-0.305	-	1.94	
G0	F0	800.0	1.1	14.918	14.269	13.336	12.888	17.536	16.614	14.965	14.057	2.054	-0.305	-	1.94	
A0	F5	600.0	0.7	14.918	14.269	13.336	12.888	12.593	12.539	11.528	10.989	1.33	-0.127	-	1.941	
F5	A0	600.0	0.7	14.918	14.269	13.336	12.888	12.593	12.539	11.528	10.989	1.33	-0.127	-	1.941	
G0	M2	600.0	0.7	14.918	14.269	13.336	12.888	17.323	16.538	15.049	14.265	1.939	-0.401	-	1.941	
M2	G0	600.0	0.7	14.918	14.269	13.336	12.888	17.323	16.538	15.049	14.265	1.939	-0.401	-	1.941	
A0	M2	1200.0	1.4	14.918	14.269	13.336	12.888	17.541	16.644	14.971	14.02	2.033	-0.205	-	1.941	
M2	A0	1200.0	1.4	14.918	14.269	13.336	12.888	17.541	16.644	14.971	14.02	2.033	-0.205	-	1.941	
A0	M4	1200.0	1.4	14.918	14.269	13.336	12.888	17.541	16.644	14.971	14.021	2.033	-0.205	-	1.942	
M4	A0	1200.0	1.4	14.918	14.269	13.336	12.888	17.541	16.644	14.971	14.021	2.033	-0.205	-	1.942	
G0	K2	900.0	0.5	14.918	14.269	13.336	12.888	17.058	16.48	15.159	14.482	1.766	-0.393	-	1.942	
K2	G0	900.0	0.5	14.918	14.269	13.336	12.888	17.058	16.48	15.159	14.482	1.766	-0.393	-	1.942	
F0	F5	900.0	1.1	14.918	14.269	13.336	12.888	17.534	16.61	14.969	14.067	2.055	-0.32	-	1.942	
F5	F0	900.0	1.1	14.918	14.269	13.336	12.888	17.534	16.61	14.969	14.067	2.055	-0.32	-	1.942	
A0	A0	700.0	0.8	14.918	14.269	13.336	12.888	12.708	12.561	11.477	10.893	1.408	-0.137	-	1.943	
B8	F0	1200.0	0.5	14.918	14.269	13.336	12.888	12.073	12.431	11.743	11.385	0.987	-0.068	-	1.945	
F0	B8	1200.0	0.5	14.918	14.269	13.336	12.888	12.073	12.431	11.743	11.385	0.987	-0.068	-	1.945	
B8	F5	1000.0	1.8	14.918	14.269	13.336	12.888	18.01	16.755	14.792	13.639	2.331	-0.201	-	1.946	
F5	B8	1000.0	1.8	14.918	14.269	13.336	12.888	18.01	16.755	14.792	13.639	2.331	-0.201	-	1.946	
B8	A0	1200.0	0.6	14.918	14.269	13.336	12.888	12.254	12.468	11.664	11.24	1.107	-0.083	-	1.946	
A0	B8	1200.0	0.6	14.918	14.269	13.336	12.888	12.254	12.468	11.664	11.24	1.107	-0.083	-	1.946	
A0	F5	800.0	1.7	14.918	14.269	13.336	12.888	18.066	16.75	14.767	13.615	2.381	-0.264	-	1.947	
F5	A0	800.0	1.7	14.918	14.269	13.336	12.888	18.066	16.75	14.767	13.615	2.381	-0.264	-	1.947	
B5	F5	800.0	1.1	14.918	14.269	13.336	12.888	12.748	12.606	11.459	10.809	1.403	0.0	A2V	1.947	
F5	B5	800.0	1.1	14.918	14.269	13.336	12.888	12.748	12.606	11.459	10.809	1.403	0.0	A2V	1.947	
G0	M2	700.0	0.6	14.918	14.269	13.336	12.888	17.173	16.513	15.122	14.398	1.835	-0.389	-	1.949	
M2	G0	700.0	0.6	14.918	14.269	13.336	12.888	17.173	16.513	15.122	14.398	1.835	-0.389	-	1.949	
F0	F0	1200.0	1.0	14.918	14.269	13.336	12.888	17.312	16.574	15.07	14.251	1.9	-0.289	-	1.949	
G0	M4	600.0	0.7	14.918	14.269	13.336	12.888	17.324	16.543	15.059	14.281	1.936	-0.407	-	1.949	
M4	G0	600.0	0.7	14.918	14.269	13.336	12.888	17.324	16.543	15.059	14.281	1.936	-0.407	-	1.949	
A0	A0	600.0	0.9	14.918	14.269	13.336	12.888	12.859	12.589	11.405	10.761	1.51	-0.143	-	1.949	
A0	A0	1100.0	0.5	14.918	14.269	13.336	12.888	12.232	12.445	11.666	11.265	1.107	-0.132	-	1.951	
B8	G0	1000.0	0.6	14.918	14.269	13.336	12.888	12.2	12.456	11.678	11.266	1.072	-0.064	-	1.953	
G0	B8	1000.0	0.6	14.918	14.269	13.336	12.888	12.2	12.456	11.678	11.266	1.072	-0.064	-	1.953	
F0	K5	1000.0	0.9	14.918	14.269	13.336	12.888	17.177	16.554	15.133	14.365	1.805	-0.266	-	1.955	
K5	F0	1000.0	0.9	14.918	14.269	13.336	12.888	17.177	16.554	15.133	14.365	1.805	-0.266	-	1.955	
B8	B8	1200.0	1.9	14.918	14.269	13.336	12.888	18.156	16.787	14.747	13.543	2.426	-0.229	-	1.955	
A0	K2	900.0	1.6	14.918	14.269	13.336	12.888	17.883	16.723	14.855	13.777	2.251	-0.24	-	1.956	
K2	A0	900.0	1.6	14.918	14.269	13.336	12.888	17.883	16.723	14.855	13.777	2.251	-0.24	-	1.956	
G0	M4	700.0	0.6	14.918	14.269	13.336	12.888	17.175	16.518	15.132	14.414	1.832	-0.396	-	1.957	
M4	G0	700.0	0.6	14.918	14.269	13.336	12.888	17.175	16.518	15.132	14.414	1.832	-0.396	-	1.957	
B5	B5	1300.0	1.0	14.918	14.269	13.336	12.888	12.569	12.556	11.517	10.935	1.295	0.001	B9V	1.959	
B5	F0	800.0	1.1	14.918	14.269	13.336	12.888	12.741	12.595	11.444	10.793	1.407	0.0	A2V	1.96	
F0	B5	800.0	1.1	14.918	14.269	13.336	12.888	12.741	12.595	11.444	10.793	1.407	0.0	A2V	1.96	
A0	A0	700.0	2.0	14.918	14.269	13.336	12.888	18.522	16.841	14.605	13.284	2.686	-0.342	-	1.96	
A0	F0	1300.0	1.4	14.918	14.269	13.336	12.888	17.608	16.672	14.97	14.002	2.065	-0.211	-	1.961	
F0	A0	1300.0	1.4	14.918	14.269	13.336	12.888	17.608	16.672	14.97	14.002	2.065	-0.211	-	1.961	
B8	B8	1200.0	0.7	14.918	14.269	13.336	12.888	12.335	12.479	11.608	11.142	1.165	-0.07	-	1.962	
A0	K5	900.0	1.6	14.918	14.269	13.336	12.888	17.885	16.728	14.862	13.785	2.249	-0.241	-	1.962	
K5	A0	900.0	1.6	14.918	14.269	13.336	12.888	17.885	16.728	14.862	13.785	2.249	-0.241	-	1.962	
A0	M0	900.0	1.6	14.918	14.269	13.336	12.888	17.885	16.729	14.865	13.79	2.248	-0.242	-	1.964	
M0	A0	900.0	1.6	14.918	14.269	13.336	12.888	17.885	16.729	14.865	13.79	2.248	-0.242	-	1.964	
F0	G0	600.0	1.3	14.918	14.269	13.336	12.888	17.88	16.701	14.862	13.831	2.267	-0.341	-	1.966	
G0	F0	600.0	1.3	14.918	14.269	13.336	12.888	17.88	16.701	14.862	13.831	2.267	-0.341	-	1.966	
A0	M2	900.0	1.6	14.918	14.269	13.336	12.888	17.885	16.73	14.867	13.793	2.248	-0.243	-	1.966	
M2	A0	900.0	1.6	14.918	14.269	13.336	12.888	17.885	16.73	14.867	13.793	2.248	-0.243	-	1.966	
A0	M4	900.0	1.6	14.918	14.269	13.336	12.888	17.885	16.73	14.867	13.794	2.248	-0.244	-	1.966	
M4	A0	900.0	1.6	14.918	14.269	13.336	12.888	17.885	16.73	14.867	13.794	2.248	-0.244	-	1.966	
A0	F5	600.0	1.9	14.918	14.269	13.336	12.888	18.409	16.83	14.66	13.385	2.601	-0.314	-	1.968	
F5	A0	600.0	1.9	14.918	14.269	13.336	12.888	18.409	16.83	14.66	13.385	2.601	-0.314	-	1.968	
F0	M0	1000.0	0.9	14.918	14.269	13.336	12.888	17.183	16.565	15.151	14.387	1.8	-0.268	-	1.969	
M0	F0	1000.0	0.9	14.918	14.269	13.336	12.888	17.183	16.565	15.151	14.387	1.8	-0.268	-	1.969	
B8	G0	1000.0	1.8	14.918	14.269	13.336	12.888	18.023	16.777	14.821	13.673	2.323	-0.2	-	1.971	
G0	B8	1000.0	1.8	14.918	14.269	13.336	12.888	18.023	16.777	14.821	13.673	2.323	-0.2	-	1.971	
A0	A0	1100.0	1.7	14.918	14.269	13.336	12.888	18.053	16.767	14.81	13.675	2.356	-0.266	-	1.973	
B8	A0	1200.0	1.8	14.918	14.269	13.336	12.888	18.075	16.785	14.806	13.646	2.36	-0.225	-	1.975	
A0	B8	1200.0	1.8	14.918	14.269	13.336	12.888	18.075	16.785	14.806	13.646	2.36	-0.225	-	1.975	
A0	F5	800.0	0.5	14.918	14.269	13.336	12.888	12.246	12.431	11.625	11.207	1.13	-0.125	-	1.976	
F5	A0	800.0	0.5	14.918	14.269	13.336	12.888	12.246	12.431	11.625	11.207	1.13	-0.125	-	1.976	
F0	G0	700.0	1.2	14.918	14.269	13.336	12.888	17.73	16.681	14.936	13.966	2.16	-0.323	-	1.976	
G0	F0	700.0	1.2	14.918	14.269	13.336	12.888	17.73	16.681	14.936	13.966	2.16	-0.323	-	1.976	
F0	F0	900.0	1.2	14.918	14.269	13.336	12.888	17.656	16.665	14.967	14.027	2.111	-0.32	-	1.976	
F0	M2	1000.0	0.9	14.918	14.269	13.336	12.888	17.184	16.57	15.162	14.402	1.797	-0.273	-	1.977	
M2	F0	1000.0	0.9	14.918	14.269	13.336	12.888	17.184	16.57	15.162	14.402	1.797	-0.273	-	1.977	
B8	F5	1000.0	0.6	14.918	14.269	13.336	12.888	12.187	12.435	11.649	11.232	1.079	-0.063	-	1.977	
F5	B8	1000.0	0.6	14.918	14.269	13.336	12.888	12.187	12.435	11.649	11.232	1.079	-0.063	-	1.977	
F0	M4	1000.0	0.9	14.918	14.269	13.336	12.888	17.184	16.571	15.164	14.406	1.796	-0.276	-	1.979	
M4	F0	1000.0	0.9	14.918	14.269	13.336	12.888	17.184	16.571	15.164	14.406	1.796	-0.276	-	1.979	
F0	G0	1100.0	0.9	14.918	14.269	13.336	12.888	17.259	16.589	15.134	14.347	1.844	-0.277	-	1.979	
G0	F0	1100.0	0.9	14.918	14.269	13.336	12.888	17.259	16.589	15.134	14.347	1.844	-0.277	-	1.979	
A0	F5	700.0	1.8	14.918	14.269	13.336	12.888	18.26	16.813	14.736	13.523	2.491	-0.288	-	1.98	
F5	A0	700.0	1.8	14.918	14.269	13.336	12.888	18.26	16.813	14.736	13.523	2.491	-0.288	-	1.98	
G0	G0	1000.0	0.6	14.918	14.269	13.336	12.888	17.197	16.541	15.156	14.439	1.832	-0.397	-	1.98	
F5	K5	1000.0	0.7	14.918	14.269	13.336	12.888	17.109	16.545	15.196	14.484	1.755	-0.311	-	1.981	
K5	F5	1000.0	0.7	14.918	14.269	13.336	12.888	17.109	16.545	15.196	14.484	1.755	-0.311	-	1.981	
A0	A0	800.0	0.7	14.918	14.269	13.336	12.888	12.512	12.486	11.503	10.981	1.307	-0.133	-	1.982	
B8	K2	1000.0	1.8	14.918	14.269	13.336	12.888	18.027	16.787	14.838	13.694	2.318	-0.203	-	1.984	
K2	B8	1000.0	1.8	14.918	14.269	13.336	12.888	18.027	16.787	14.838	13.694	2.318	-0.203	-	1.984	
B8	F0	1200.0	1.7	14.918	14.269	13.336	12.888	17.898	16.765	14.891	13.797	2.229	-0.183	-	1.985	
F0	B8	1200.0	1.7	14.918	14.269	13.336	12.888	17.898	16.765	14.891	13.797	2.229	-0.183	-	1.985	
B8	K5	1000.0	1.8	14.918	14.269	13.336	12.888	18.028	16.789	14.841	13.698	2.317	-0.204	-	1.987	
K5	B8	1000.0	1.8	14.918	14.269	13.336	12.888	18.028	16.789	14.841	13.698	2.317	-0.204	-	1.987	
B8	M0	1000.0	1.8	14.918	14.269	13.336	12.888	18.028	16.79	14.843	13.701	2.317	-0.205	-	1.988	
M0	B8	1000.0	1.8	14.918	14.269	13.336	12.888	18.028	16.79	14.843	13.701	2.317	-0.205	-	1.988	
B8	M2	1000.0	1.8	14.918	14.269	13.336	12.888	18.028	16.79	14.844	13.702	2.317	-0.205	-	1.988	
M2	B8	1000.0	1.8	14.918	14.269	13.336	12.888	18.028	16.79	14.844	13.702	2.317	-0.205	-	1.988	
B8	M4	1000.0	1.8	14.918	14.269	13.336	12.888	18.028	16.79	14.844	13.703	2.317	-0.206	-	1.989	
M4	B8	1000.0	1.8	14.918	14.269	13.336	12.888	18.028	16.79	14.844	13.703	2.317	-0.206	-	1.989	
A0	F5	1100.0	1.5	14.918	14.269	13.336	12.888	17.789	16.734	14.939	13.911	2.165	-0.222	-	1.99	
F5	A0	1100.0	1.5	14.918	14.269	13.336	12.888	17.789	16.734	14.939	13.911	2.165	-0.222	-	1.99	
F0	K2	1200.0	0.8	14.918	14.269	13.336	12.888	17.071	16.56	15.229	14.516	1.711	-0.256	-	1.991	
K2	F0	1200.0	0.8	14.918	14.269	13.336	12.888	17.071	16.56	15.229	14.516	1.711	-0.256	-	1.991	
F5	K2	1200.0	0.6	14.918	14.269	13.336	12.888	16.979	16.524	15.265	14.609	1.664	-0.309	-	1.992	
K2	F5	1200.0	0.6	14.918	14.269	13.336	12.888	16.979	16.524	15.265	14.609	1.664	-0.309	-	1.992	
B5	B5	700.0	1.4	14.918	14.269	13.336	12.888	13.167	12.658	11.223	10.395	1.709	-0.035	-	1.992	
B5	B5	1100.0	1.1	14.918	14.269	13.336	12.888	12.692	12.557	11.417	10.774	1.398	-0.005	-	1.993	
F5	G0	1000.0	0.8	14.918	14.269	13.336	12.888	17.325	16.595	15.125	14.343	1.893	-0.346	-	1.994	
G0	F5	1000.0	0.8	14.918	14.269	13.336	12.888	17.325	16.595	15.125	14.343	1.893	-0.346	-	1.994	
F5	F5	1200.0	0.8	14.918	14.269	13.336	12.888	17.252	16.582	15.156	14.398	1.844	-0.334	-	1.994	
B8	A0	900.0	2.0	14.918	14.269	13.336	12.888	18.419	16.865	14.699	13.415	2.58	-0.275	-	1.996	
A0	B8	900.0	2.0	14.918	14.269	13.336	12.888	18.419	16.865	14.699	13.415	2.58	-0.275	-	1.996	
A0	G0	800.0	1.7	14.918	14.269	13.336	12.888	18.099	16.798	14.825	13.678	2.369	-0.259	-	1.997	
G0	A0	800.0	1.7	14.918	14.269	13.336	12.888	18.099	16.798	14.825	13.678	2.369	-0.259	-	1.997	
B5	B8	900.0	1.1	14.918	14.269	13.336	12.888	12.744	12.56	11.386	10.724	1.438	-0.018	-	1.999	
B8	B5	900.0	1.1	14.918	14.269	13.336	12.888	12.744	12.56	11.386	10.724	1.438	-0.018	-	1.999	
B5	B5	600.0	1.5	14.918	14.269	13.336	12.888	13.318	12.682	11.149	10.26	1.815	-0.05	-	2.001	
A0	F0	700.0	0.6	14.918	14.269	13.336	12.888	12.383	12.44	11.528	11.049	1.237	-0.133	-	2.003	
F0	A0	700.0	0.6	14.918	14.269	13.336	12.888	12.383	12.44	11.528	11.049	1.237	-0.133	-	2.003	
B5	M4	900.0	1.0	14.918	14.269	13.336	12.888	12.523	12.51	11.471	10.889	1.295	0.001	A2V	2.004	
M4	B5	900.0	1.0	14.918	14.269	13.336	12.888	12.523	12.51	11.471	10.889	1.295	0.001	A2V	2.004	
B5	M2	900.0	1.0	14.918	14.269	13.336	12.888	12.523	12.51	11.471	10.889	1.295	0.001	A2V	2.005	
M2	B5	900.0	1.0	14.918	14.269	13.336	12.888	12.523	12.51	11.471	10.889	1.295	0.001	A2V	2.005	
B5	M0	900.0	1.0	14.918	14.269	13.336	12.888	12.523	12.51	11.471	10.889	1.295	0.002	A2V	2.005	
M0	B5	900.0	1.0	14.918	14.269	13.336	12.888	12.523	12.51	11.471	10.889	1.295	0.002	A2V	2.005	
B5	K5	900.0	1.0	14.918	14.269	13.336	12.888	12.522	12.51	11.47	10.888	1.296	0.002	A2V	2.005	
K5	B5	900.0	1.0	14.918	14.269	13.336	12.888	12.522	12.51	11.47	10.888	1.296	0.002	A2V	2.005	
F5	M0	1000.0	0.7	14.918	14.269	13.336	12.888	17.12	16.567	15.227	14.52	1.747	-0.312	-	2.006	
M0	F5	1000.0	0.7	14.918	14.269	13.336	12.888	17.12	16.567	15.227	14.52	1.747	-0.312	-	2.006	
B5	K2	900.0	1.0	14.918	14.269	13.336	12.888	12.522	12.509	11.469	10.886	1.296	0.003	A2V	2.006	
K2	B5	900.0	1.0	14.918	14.269	13.336	12.888	12.522	12.509	11.469	10.886	1.296	0.003	A2V	2.006	
B8	F0	900.0	1.9	14.918	14.269	13.336	12.888	18.242	16.846	14.785	13.567	2.448	-0.229	-	2.007	
F0	B8	900.0	1.9	14.918	14.269	13.336	12.888	18.242	16.846	14.785	13.567	2.448	-0.229	-	2.007	
A0	F0	600.0	0.7	14.918	14.269	13.336	12.888	12.534	12.471	11.457	10.917	1.337	-0.135	-	2.008	
F0	A0	600.0	0.7	14.918	14.269	13.336	12.888	12.534	12.471	11.457	10.917	1.337	-0.135	-	2.008	
B8	F0	1000.0	0.6	14.918	14.269	13.336	12.888	12.164	12.403	11.612	11.193	1.086	-0.066	-	2.01	
F0	B8	1000.0	0.6	14.918	14.269	13.336	12.888	12.164	12.403	11.612	11.193	1.086	-0.066	-	2.01	
B5	G0	900.0	1.0	14.918	14.269	13.336	12.888	12.521	12.506	11.462	10.877	1.298	0.005	A2V	2.011	
G0	B5	900.0	1.0	14.918	14.269	13.336	12.888	12.521	12.506	11.462	10.877	1.298	0.005	A2V	2.011	
F0	F5	800.0	1.2	14.918	14.269	13.336	12.888	17.762	16.711	14.974	14.011	2.161	-0.337	-	2.012	
F5	F0	800.0	1.2	14.918	14.269	13.336	12.888	17.762	16.711	14.974	14.011	2.161	-0.337	-	2.012	
B8	A0	1000.0	0.7	14.918	14.269	13.336	12.888	12.344	12.438	11.532	11.048	1.206	-0.083	-	2.012	
A0	B8	1000.0	0.7	14.918	14.269	13.336	12.888	12.344	12.438	11.532	11.048	1.206	-0.083	-	2.012	
A0	A0	1300.0	1.6	14.918	14.269	13.336	12.888	17.931	16.776	14.913	13.84	2.248	-0.244	-	2.012	
G0	K2	800.0	0.6	14.918	14.269	13.336	12.888	17.287	16.586	15.165	14.428	1.869	-0.403	-	2.014	
K2	G0	800.0	0.6	14.918	14.269	13.336	12.888	17.287	16.586	15.165	14.428	1.869	-0.403	-	2.014	
F0	G0	1300.0	0.8	14.918	14.269	13.336	12.888	17.137	16.591	15.235	14.509	1.74	-0.266	-	2.015	
G0	F0	1300.0	0.8	14.918	14.269	13.336	12.888	17.137	16.591	15.235	14.509	1.74	-0.266	-	2.015	
B8	F5	1200.0	1.7	14.918	14.269	13.336	12.888	17.921	16.797	14.928	13.837	2.222	-0.178	-	2.018	
F5	B8	1200.0	1.7	14.918	14.269	13.336	12.888	17.921	16.797	14.928	13.837	2.222	-0.178	-	2.018	
A0	G0	600.0	1.9	14.918	14.269	13.336	12.888	18.442	16.878	14.718	13.448	2.588	-0.309	-	2.019	
G0	A0	600.0	1.9	14.918	14.269	13.336	12.888	18.442	16.878	14.718	13.448	2.588	-0.309	-	2.019	
F5	M2	1000.0	0.7	14.918	14.269	13.336	12.888	17.124	16.576	15.245	14.544	1.742	-0.319	-	2.02	
M2	F5	1000.0	0.7	14.918	14.269	13.336	12.888	17.124	16.576	15.245	14.544	1.742	-0.319	-	2.02	
B5	F5	900.0	1.0	14.918	14.269	13.336	12.888	12.518	12.499	11.451	10.863	1.301	0.007	A2V	2.02	
F5	B5	900.0	1.0	14.918	14.269	13.336	12.888	12.518	12.499	11.451	10.863	1.301	0.007	A2V	2.02	
F0	K2	900.0	1.0	14.918	14.269	13.336	12.888	17.415	16.655	15.128	14.294	1.919	-0.28	-	2.02	
K2	F0	900.0	1.0	14.918	14.269	13.336	12.888	17.415	16.655	15.128	14.294	1.919	-0.28	-	2.02	
F5	K2	900.0	0.8	14.918	14.269	13.336	12.888	17.324	16.621	15.165	14.388	1.87	-0.329	-	2.022	
